country	year	gdp
Israel	2002	121069378150.196
Japan	2002	4115116279069.77
Pakistan	2002	72306820396.2325
Saudi Arabia	2002	189605920240
South Korea	2002	609020054512.465
United Arab Emirates	2002	109816201497.617
Viet Nam	2002	35064105500.8345
Bangladesh	2001	53991289844.3291
China	2001	1339395718865.3
Hong Kong	2001	169403241524.337
India	2001	478965491061.694
Iran	2001	126878750295.944
Israel	2001	130706147870.747
Japan	2001	4303544259842.72
Pakistan	2001	72309738921.3329
Saudi Arabia	2001	184137469733.333
South Korea	2001	533052076313.527
United Arab Emirates	2001	103311640571.818
Viet Nam	2001	32685198735.3053
Bangladesh	2000	53369787318.6245
China	2000	1211346869605.24
Hong Kong	2000	171668164082.555
India	2000	462146799336.77
Iran	2000	109591707802.216
Israel	2000	132339311284.428
Japan	2000	4887519660744.86
Pakistan	2000	73952374969.7995
Saudi Arabia	2000	189514926213.333
South Korea	2000	561633125839.994
United Arab Emirates	2000	104337372362.151
Viet Nam	2000	31172518403.3162
Bangladesh	1999	51270569883.5275
China	1999	1093997267271.06
Hong Kong	1999	165768095391.557
India	1999	452699998386.955
Iran	1999	113848450088.351
Israel	1999	117189920211.61
Japan	1999	4562078822335.45
Pakistan	1999	62973855718.8874
Saudi Arabia	1999	16171696e4
South Korea	1999	485248229336.653
United Arab Emirates	1999	84445473110.9598
Viet Nam	1999	28683659006.7752
Bangladesh	1998	49984559471.3656
China	1998	1029043097554.08
Hong Kong	1998	168886163221.567
India	1998	415730874172.06
Iran	1998	110276913362.508
Israel	1998	115979230546.565
Japan	1998	4032509760872.94
Pakistan	1998	62191955814.3478
Saudi Arabia	1998	146775498080
South Korea	1998	374241351752.483
United Arab Emirates	1998	75674336283.1858
Viet Nam	1998	27209602050.0452
Bangladesh	1997	48244308274.8086
China	1997	961603952951.82
Hong Kong	1997	177352785419.977
India	1997	410320300471.227
Iran	1997	113919163421.155
Israel	1997	114724862033.977
Japan	1997	4414732843544.43
Pakistan	1997	62433300338.0941
Saudi Arabia	1997	165963557409.88
South Korea	1997	557503074772.151
United Arab Emirates	1997	78839008444.5655
Viet Nam	1997	26843700441.5482
Bangladesh	1996	46438482370.3942
China	1996	863746717503.789
Hong Kong	1996	159717233621.659
India	1996	387656017799.599
Iran	1996	120403931885.441
Israel	1996	109957321960.084
Japan	1996	4833712542207.1
Pakistan	1996	63320122807.1223
Saudi Arabia	1996	158662398744.993
South Korea	1996	598099073901.423
United Arab Emirates	1996	73571233996.1863
Viet Nam	1996	24657470574.7501
Bangladesh	1995	37939748051.3878
China	1995	734547898220.508
Hong Kong	1995	144652912433.103
India	1995	355475984176.175
Iran	1995	96419225743.6737
Israel	1995	100343219506.525
Japan	1995	5449116304981.1
Pakistan	1995	60636022422.6176
Saudi Arabia	1995	143343036341.789
South Korea	1995	556130926912.754
United Arab Emirates	1995	65743666575.8649
Viet Nam	1995	20736164458.9505
Bangladesh	1994	33768662171.2233
China	1994	564324670005.917
Hong Kong	1994	135812069768.646
India	1994	322909902308.131
Iran	1994	71841461172.5964
Israel	1994	86307135996.8118
Japan	1994	4907039384469.68
Pakistan	1994	51894781281.8919
Saudi Arabia	1994	135174886488.652
South Korea	1994	455602962225.403
United Arab Emirates	1994	59305093979.842
Viet Nam	1994	16286433533.3228
Bangladesh	1993	33166520084.8295
China	1993	444731282436.762
Hong Kong	1993	120353947980.764
India	1993	275570363432.31
Iran	1993	63743623232.012
Israel	1993	75954641355.4291
Japan	1993	4466565327401.26
Pakistan	1993	51478304859.5879
Saudi Arabia	1993	132967901415.22
South Korea	1993	386302839273.923
United Arab Emirates	1993	55625170253.337
Viet Nam	1993	13180953598.1716
Bangladesh	1992	31708873954.9405
China	1992	426915712711.146
Hong Kong	1992	104272278634.731
India	1992	284363884079.92
Iran	1992	63743623232.012
Israel	1992	75575902931.967
Japan	1992	3897826229662.86
Pakistan	1992	48635176852.7673
Saudi Arabia	1992	137087876662.216
South Korea	1992	350051111253.443
United Arab Emirates	1992	54239171887.769
Viet Nam	1992	9866990236.43587
Bangladesh	1991	30957483290.541
China	1991	383373318083.624
Hong Kong	1991	88959620135.8864
India	1991	266502281092.721
Iran	1991	124813263926.374
Israel	1991	67530220218.5073
Japan	1991	3578139437172.02
Pakistan	1991	45451960731.7204
Saudi Arabia	1991	132223268491.322
South Korea	1991	325734233312.879
United Arab Emirates	1991	51552165622.4462
Viet Nam	1991	9613369520.41885
Bangladesh	1990	31598341233.5793
China	1990	360857912565.966
Hong Kong	1990	76928290841.8701
India	1990	316697337894.532
Iran	1990	124813263926.374
Israel	1990	58986997916.8733
Japan	1990	3139974443543
Pakistan	1990	40010424928.715
Saudi Arabia	1990	117630271802.403
South Korea	1990	279349355713.801
United Arab Emirates	1990	50701443748.2975
Viet Nam	1990	6471740805.56984
Bangladesh	1989	28781714763.7823
China	1989	347768051311.741
Hong Kong	1989	68790369107.2962
India	1989	292093308316.929
Iran	1989	120496362916.372
Israel	1989	49881433990.8161
Japan	1989	3052315661954.82
Pakistan	1989	40171019643.3511
Saudi Arabia	1989	95344459279.0387
South Korea	1989	243526047716.915
United Arab Emirates	1989	41464995913.9199
Viet Nam	1989	6293304974.59403
Bangladesh	1988	26579005760.315
China	1988	312353631207.819
Hong Kong	1988	59707404560.5944
India	1988	292632656261.441
Iran	1988	123057861333.933
Israel	1988	50078767902.9333
Japan	1988	3050637784817.52
Pakistan	1988	38472741737.3968
Saudi Arabia	1988	88256074766.3551
South Korea	1988	196964195387.371
United Arab Emirates	1988	36275674203.2144
Viet Nam	1988	25423812648.5941
Bangladesh	1987	24298032258.0645
China	1987	272972974764.574
Hong Kong	1987	50622571586.1149
India	1987	275311425330.609
Iran	1987	134009995922.987
Israel	1987	40946424369.7479
Japan	1987	2514283894261.86
Pakistan	1987	33351528115.351
Saudi Arabia	1987	85695861148.1976
South Korea	1987	146133338196.141
United Arab Emirates	1987	36384908744.2114
Viet Nam	1987	36658108850.3149
Bangladesh	1986	21774033333.3333
China	1986	300758100107.246
Hong Kong	1986	41075570591.9291
India	1986	245664654064.834
Iran	1986	209094561834.095
Israel	1986	34083532195.1875
Japan	1986	2075034242192.31
Pakistan	1986	31899071053.9368
Saudi Arabia	1986	86961922765.3254
South Korea	1986	115537126325.94
United Arab Emirates	1986	33943612094.7971
Viet Nam	1986	26336616250.4397
