location	year	n
Pakistan	2001	0
Saudi Arabia	2001	0
South Korea	2001	2
United Arab Emirates	2001	2
Viet Nam	2001	0
Bangladesh	2000	0
China	2000	9
Hong Kong	2000	0
India	2000	0
Iran	2000	2
Israel	2000	2
Japan	2000	1
Pakistan	2000	0
Saudi Arabia	2000	0
South Korea	2000	1
United Arab Emirates	2000	3
Viet Nam	2000	0
Bangladesh	1999	0
China	1999	10
Hong Kong	1999	2
India	1999	0
Iran	1999	1
Israel	1999	0
Japan	1999	1
Pakistan	1999	1
Saudi Arabia	1999	0
South Korea	1999	0
United Arab Emirates	1999	0
Viet Nam	1999	0
Bangladesh	1998	0
China	1998	8
Hong Kong	1998	0
India	1998	0
Iran	1998	4
Israel	1998	0
Japan	1998	2
Pakistan	1998	0
Saudi Arabia	1998	0
South Korea	1998	0
United Arab Emirates	1998	0
Viet Nam	1998	0
Bangladesh	1997	0
China	1997	7
Hong Kong	1997	5
India	1997	0
Iran	1997	0
Israel	1997	0
Japan	1997	2
Pakistan	1997	0
Saudi Arabia	1997	0
South Korea	1997	0
United Arab Emirates	1997	0
Viet Nam	1997	0
Bangladesh	1996	0
China	1996	3
Hong Kong	1996	0
India	1996	0
Iran	1996	0
Israel	1996	0
Japan	1996	0
Pakistan	1996	0
Saudi Arabia	1996	0
South Korea	1996	5
United Arab Emirates	1996	0
Viet Nam	1996	0
Bangladesh	1995	0
China	1995	0
Hong Kong	1995	0
India	1995	0
Iran	1995	0
Israel	1995	0
Japan	1995	0
Pakistan	1995	0
Saudi Arabia	1995	0
South Korea	1995	0
United Arab Emirates	1995	0
Viet Nam	1995	0
Bangladesh	1994	0
China	1994	2
Hong Kong	1994	0
India	1994	0
Iran	1994	0
Israel	1994	0
Japan	1994	0
Pakistan	1994	0
Saudi Arabia	1994	0
South Korea	1994	0
United Arab Emirates	1994	0
Viet Nam	1994	0
Bangladesh	1993	0
China	1993	0
Hong Kong	1993	0
India	1993	0
Iran	1993	0
Israel	1993	0
Japan	1993	0
Pakistan	1993	0
Saudi Arabia	1993	0
South Korea	1993	0
United Arab Emirates	1993	0
Viet Nam	1993	0
Bangladesh	1992	0
China	1992	0
Hong Kong	1992	0
India	1992	0
Iran	1992	0
Israel	1992	0
Japan	1992	0
Pakistan	1992	0
Saudi Arabia	1992	0
South Korea	1992	0
United Arab Emirates	1992	0
Viet Nam	1992	0
Bangladesh	1991	0
China	1991	0
Hong Kong	1991	0
India	1991	0
Iran	1991	0
Israel	1991	0
Japan	1991	0
Pakistan	1991	0
Saudi Arabia	1991	0
South Korea	1991	0
United Arab Emirates	1991	0
Viet Nam	1991	0
Bangladesh	1990	0
China	1990	0
Hong Kong	1990	0
India	1990	0
Iran	1990	0
Israel	1990	0
Japan	1990	0
Pakistan	1990	0
Saudi Arabia	1990	0
South Korea	1990	0
United Arab Emirates	1990	0
Viet Nam	1990	0
Bangladesh	1989	0
China	1989	0
Hong Kong	1989	0
India	1989	0
Iran	1989	0
Israel	1989	0
Japan	1989	0
Pakistan	1989	0
Saudi Arabia	1989	0
South Korea	1989	0
United Arab Emirates	1989	0
Viet Nam	1989	0
Bangladesh	1988	0
China	1988	0
Hong Kong	1988	1
India	1988	0
Iran	1988	0
Israel	1988	0
Japan	1988	0
Pakistan	1988	0
Saudi Arabia	1988	0
South Korea	1988	0
United Arab Emirates	1988	0
Viet Nam	1988	0
Bangladesh	1987	0
China	1987	0
Hong Kong	1987	0
India	1987	0
Iran	1987	0
Israel	1987	0
Japan	1987	0
Pakistan	1987	0
Saudi Arabia	1987	0
South Korea	1987	0
United Arab Emirates	1987	0
Viet Nam	1987	0
Bangladesh	1986	0
China	1986	0
Hong Kong	1986	0
India	1986	0
Iran	1986	0
Israel	1986	0
Japan	1986	0
Pakistan	1986	0
Saudi Arabia	1986	0
South Korea	1986	0
United Arab Emirates	1986	0
Viet Nam	1986	0
